dataset,seed,config,rmse,fit_time,n_rounds
1027_ESL,0,split_boost,0.4959506323810319,5.088842153549194,84
1027_ESL,0,xgboost,0.5240060914861131,0.14684033393859863,25
1027_ESL,0,lightgbm,0.514841744723652,0.273334264755249,24
1027_ESL,1,split_boost,0.6165112418705686,2.790062427520752,41
1027_ESL,1,xgboost,0.5786821452893758,0.07453036308288574,41
1027_ESL,1,lightgbm,0.575522702896152,0.24520587921142578,36
1027_ESL,2,split_boost,0.6373379415382043,2.246659994125366,37
1027_ESL,2,xgboost,0.6577121914664813,0.06153583526611328,35
1027_ESL,2,lightgbm,0.6163105803112416,0.2267146110534668,32
1027_ESL,3,split_boost,0.5833521260336058,4.0373194217681885,66
1027_ESL,3,xgboost,0.5436199783934792,0.09052205085754395,63
1027_ESL,3,lightgbm,0.5440245855718897,0.268571138381958,54
1027_ESL,4,split_boost,0.7057227937150726,3.1908228397369385,51
1027_ESL,4,xgboost,0.769093519014093,0.0831601619720459,56
1027_ESL,4,lightgbm,0.7558539787149722,0.25804662704467773,47
1028_SWD,0,split_boost,0.6189574810634012,2.597487211227417,30
1028_SWD,0,xgboost,0.6021912732003085,0.06039118766784668,16
1028_SWD,0,lightgbm,0.6013189635440963,0.21595335006713867,16
1028_SWD,1,split_boost,0.6982287798386011,2.9649765491485596,35
1028_SWD,1,xgboost,0.689924977249113,0.06581783294677734,25
1028_SWD,1,lightgbm,0.687463164429156,0.24339985847473145,24
1028_SWD,2,split_boost,0.6448402262212737,2.400928497314453,29
1028_SWD,2,xgboost,0.6214048209472048,0.048797607421875,18
1028_SWD,2,lightgbm,0.6204916919321157,0.22624516487121582,17
1028_SWD,3,split_boost,0.6710472065315117,2.8903143405914307,34
1028_SWD,3,xgboost,0.6628004572087056,0.0519559383392334,22
1028_SWD,3,lightgbm,0.6615651852407453,0.23492765426635742,23
1028_SWD,4,split_boost,0.6386063633086225,2.875244140625,35
1028_SWD,4,xgboost,0.6294857589249248,0.055814504623413086,23
1028_SWD,4,lightgbm,0.6291343243618293,0.24051308631896973,23
1029_LEV,0,split_boost,0.6436735613427247,2.9714958667755127,38
1029_LEV,0,xgboost,0.642898916643713,0.05262589454650879,18
1029_LEV,0,lightgbm,0.6415118654071574,0.23266148567199707,20
1029_LEV,1,split_boost,0.6583765593488978,5.548207521438599,70
1029_LEV,1,xgboost,0.653692390960907,0.12397599220275879,101
1029_LEV,1,lightgbm,0.6537610850704655,0.6283025741577148,200
1029_LEV,2,split_boost,0.7007661443827464,3.7255303859710693,47
1029_LEV,2,xgboost,0.7074225674423206,0.04746580123901367,17
1029_LEV,2,lightgbm,0.70717416412172,0.22121071815490723,17
1029_LEV,3,split_boost,0.6807016886720093,2.8549771308898926,35
1029_LEV,3,xgboost,0.6758168871765771,0.050079345703125,23
1029_LEV,3,lightgbm,0.6762729343417032,0.22062373161315918,23
1029_LEV,4,split_boost,0.6961849696263744,4.334370374679565,55
1029_LEV,4,xgboost,0.6911573414797221,0.06640195846557617,35
1029_LEV,4,lightgbm,0.6732397326829759,0.27239489555358887,26
1030_ERA,0,split_boost,1.61986263365996,1.7214715480804443,33
1030_ERA,0,xgboost,1.5940016428202812,0.10321855545043945,103
1030_ERA,0,lightgbm,1.5940349181301705,0.3740077018737793,184
1030_ERA,1,split_boost,1.637499734295039,2.4504036903381348,46
1030_ERA,1,xgboost,1.6229116638647465,0.10350537300109863,102
1030_ERA,1,lightgbm,1.6229439999405189,0.38504719734191895,176
1030_ERA,2,split_boost,1.5644993997013548,1.566394567489624,31
1030_ERA,2,xgboost,1.5486653797169276,0.04668903350830078,24
1030_ERA,2,lightgbm,1.548845857073271,0.205125093460083,23
1030_ERA,3,split_boost,1.6211708375668608,1.7203450202941895,33
1030_ERA,3,xgboost,1.6210800654478095,0.12317895889282227,104
1030_ERA,3,lightgbm,1.6211043162043404,0.35405802726745605,144
1030_ERA,4,split_boost,1.4694226271673745,2.106790065765381,38
1030_ERA,4,xgboost,1.5033167412754147,0.06391239166259766,28
1030_ERA,4,lightgbm,1.503316715321743,0.21311163902282715,28
1089_USCrime,0,split_boost,18.90199714757754,0.8441197872161865,71
1089_USCrime,0,xgboost,16.955695466317305,0.05229377746582031,31
1089_USCrime,0,lightgbm,17.39203781916329,0.1758430004119873,12
1089_USCrime,1,split_boost,16.336043935414576,2.2161571979522705,200
1089_USCrime,1,xgboost,30.942635704985385,0.03815293312072754,23
1089_USCrime,1,lightgbm,22.710005012125258,0.24864435195922852,200
1089_USCrime,2,split_boost,25.0067635276283,0.3008460998535156,32
1089_USCrime,2,xgboost,32.15956630049412,0.024776220321655273,10
1089_USCrime,2,lightgbm,24.089304999974978,0.15630030632019043,9
1089_USCrime,3,split_boost,18.145012862294898,0.6130716800689697,56
1089_USCrime,3,xgboost,32.67089224584766,0.04589486122131348,33
1089_USCrime,3,lightgbm,26.861800649743408,0.18179988861083984,48
1089_USCrime,4,split_boost,21.180780556959004,2.209425449371338,200
1089_USCrime,4,xgboost,20.721890475830236,0.10049819946289062,102
1089_USCrime,4,lightgbm,19.83178838119247,0.17895150184631348,32
1191_BNG_pbc,0,split_boost,818.6750969831867,72.95562076568604,200
1191_BNG_pbc,0,xgboost,822.4040119150933,1.1442351341247559,199
1191_BNG_pbc,0,lightgbm,820.2414871594444,3.0656962394714355,197
1191_BNG_pbc,1,split_boost,817.1643965575932,77.67262506484985,200
1191_BNG_pbc,1,xgboost,820.910888868265,1.236701250076294,184
1191_BNG_pbc,1,lightgbm,820.2981868203391,3.2764315605163574,200
1191_BNG_pbc,2,split_boost,816.2830053412675,75.58974862098694,200
1191_BNG_pbc,2,xgboost,818.4621575813086,1.194586992263794,200
1191_BNG_pbc,2,lightgbm,818.6939061615926,3.2933361530303955,199
1191_BNG_pbc,3,split_boost,818.5471717444897,75.80476999282837,194
1191_BNG_pbc,3,xgboost,821.0889914932063,1.1971313953399658,195
1191_BNG_pbc,3,lightgbm,820.8069174976547,3.2443923950195312,197
1191_BNG_pbc,4,split_boost,820.4111068258376,68.75479221343994,175
1191_BNG_pbc,4,xgboost,820.6254749679102,1.171018362045288,199
1191_BNG_pbc,4,lightgbm,822.4730407110653,3.2044405937194824,190
1193_BNG_lowbwt,0,split_boost,448.0844546705114,11.114741086959839,48
1193_BNG_lowbwt,0,xgboost,448.76729369814,0.19327378273010254,32
1193_BNG_lowbwt,0,lightgbm,448.36571162899634,0.47771620750427246,36
1193_BNG_lowbwt,1,split_boost,453.53479344931543,11.326158285140991,48
1193_BNG_lowbwt,1,xgboost,454.4457859328045,0.15332603454589844,33
1193_BNG_lowbwt,1,lightgbm,453.71668828199944,0.4729642868041992,33
1193_BNG_lowbwt,2,split_boost,453.6382825429616,10.516163349151611,45
1193_BNG_lowbwt,2,xgboost,453.051983095324,0.1386275291442871,34
1193_BNG_lowbwt,2,lightgbm,452.9249756015451,0.45514345169067383,31
1193_BNG_lowbwt,3,split_boost,453.40888871425915,10.508605003356934,46
1193_BNG_lowbwt,3,xgboost,455.086342317852,0.1997823715209961,31
1193_BNG_lowbwt,3,lightgbm,454.6680133944836,0.49820899963378906,38
1193_BNG_lowbwt,4,split_boost,461.4568373563352,11.081273317337036,49
1193_BNG_lowbwt,4,xgboost,460.422835994129,0.19217872619628906,37
1193_BNG_lowbwt,4,lightgbm,460.6679295401589,0.44281792640686035,29
1196_BNG_pharynx,0,split_boost,292.1250677947916,36.432456970214844,82
1196_BNG_pharynx,0,xgboost,292.291532402794,0.5226819515228271,80
1196_BNG_pharynx,0,lightgbm,292.24625905265873,1.7174696922302246,72
1196_BNG_pharynx,1,split_boost,292.30014149106137,35.61578345298767,76
1196_BNG_pharynx,1,xgboost,292.50791792939947,0.5930016040802002,95
1196_BNG_pharynx,1,lightgbm,292.4155644653586,1.8470208644866943,78
1196_BNG_pharynx,2,split_boost,291.44448296291625,41.52426743507385,90
1196_BNG_pharynx,2,xgboost,291.5271496708223,0.6926407814025879,80
1196_BNG_pharynx,2,lightgbm,291.5585605801188,1.9560635089874268,65
1196_BNG_pharynx,3,split_boost,291.6738485712409,43.29935908317566,92
1196_BNG_pharynx,3,xgboost,291.75318833640534,0.650259256362915,75
1196_BNG_pharynx,3,lightgbm,291.76451242049325,1.8127553462982178,69
1196_BNG_pharynx,4,split_boost,290.818101004192,37.030909061431885,76
1196_BNG_pharynx,4,xgboost,290.88390842922854,0.663433313369751,72
1196_BNG_pharynx,4,lightgbm,290.89483601698726,1.9040231704711914,72
1199_BNG_echoMonths,0,split_boost,11.430327959504456,9.68138599395752,49
1199_BNG_echoMonths,0,xgboost,11.462581538364626,0.30094003677368164,33
1199_BNG_echoMonths,0,lightgbm,11.445028430885637,0.5224506855010986,50
1199_BNG_echoMonths,1,split_boost,11.637878656273113,8.967000007629395,45
1199_BNG_echoMonths,1,xgboost,11.641751083564372,0.28174662590026855,24
1199_BNG_echoMonths,1,lightgbm,11.664765780475733,0.44801926612854004,35
1199_BNG_echoMonths,2,split_boost,11.53095797719817,8.474266052246094,42
1199_BNG_echoMonths,2,xgboost,11.514843087625765,0.3158442974090576,38
1199_BNG_echoMonths,2,lightgbm,11.532524956572752,0.4943397045135498,41
1199_BNG_echoMonths,3,split_boost,11.640444808744158,10.528987646102905,64
1199_BNG_echoMonths,3,xgboost,11.634638107814082,0.32143616676330566,39
1199_BNG_echoMonths,3,lightgbm,11.684578424215978,0.5040202140808105,44
1199_BNG_echoMonths,4,split_boost,11.363348849890908,9.754028558731079,51
1199_BNG_echoMonths,4,xgboost,11.388704316498767,0.3100700378417969,27
1199_BNG_echoMonths,4,lightgbm,11.446159870425134,0.49764537811279297,28
1201_BNG_breastTumor,0,split_boost,9.347196757479066,20.427459478378296,67
1201_BNG_breastTumor,0,xgboost,9.34513682595418,0.3640749454498291,50
1201_BNG_breastTumor,0,lightgbm,9.347739289040156,0.741051435470581,55
1201_BNG_breastTumor,1,split_boost,9.38161912509918,20.212384939193726,66
1201_BNG_breastTumor,1,xgboost,9.387818193923863,0.38097333908081055,63
1201_BNG_breastTumor,1,lightgbm,9.392285149553816,0.8455312252044678,64
1201_BNG_breastTumor,2,split_boost,9.378488860060456,21.232011795043945,78
1201_BNG_breastTumor,2,xgboost,9.378468782297858,0.36049818992614746,48
1201_BNG_breastTumor,2,lightgbm,9.365811480763005,0.7922055721282959,58
1201_BNG_breastTumor,3,split_boost,9.360611660578114,18.497613668441772,62
1201_BNG_breastTumor,3,xgboost,9.364357971158187,0.2894425392150879,59
1201_BNG_breastTumor,3,lightgbm,9.360242852999244,0.7027206420898438,51
1201_BNG_breastTumor,4,split_boost,9.459172481982225,20.48693561553955,71
1201_BNG_breastTumor,4,xgboost,9.467023450361427,0.3277420997619629,46
1201_BNG_breastTumor,4,lightgbm,9.462163523134103,0.641474723815918,43
1203_BNG_pwLinear,0,split_boost,2.7541615187179516,27.431819915771484,54
1203_BNG_pwLinear,0,xgboost,2.750303280510205,0.38389039039611816,52
1203_BNG_pwLinear,0,lightgbm,2.7508667837524095,0.676138162612915,42
1203_BNG_pwLinear,1,split_boost,2.769480313711331,27.251970767974854,54
1203_BNG_pwLinear,1,xgboost,2.7663925564968155,0.353740930557251,45
1203_BNG_pwLinear,1,lightgbm,2.7654632993095167,0.7703690528869629,53
1203_BNG_pwLinear,2,split_boost,2.766114533485522,27.21652579307556,54
1203_BNG_pwLinear,2,xgboost,2.764006465610628,0.3788578510284424,50
1203_BNG_pwLinear,2,lightgbm,2.7649766135705542,0.7293086051940918,42
1203_BNG_pwLinear,3,split_boost,2.752248528183287,29.618703842163086,59
1203_BNG_pwLinear,3,xgboost,2.7506937927507114,0.3570976257324219,47
1203_BNG_pwLinear,3,lightgbm,2.750860924469117,0.6890430450439453,44
1203_BNG_pwLinear,4,split_boost,2.7734368501709286,27.3057804107666,54
1203_BNG_pwLinear,4,xgboost,2.7717637015021617,0.36182165145874023,49
1203_BNG_pwLinear,4,lightgbm,2.772711846261731,0.7615578174591064,53
1595_poker,0,split_boost,0.34197488314938856,99.10785460472107,200
1595_poker,0,xgboost,0.40419482202311413,0.9614408016204834,200
1595_poker,0,lightgbm,0.3806685523874846,3.1042630672454834,200
1595_poker,1,split_boost,0.33386058278025077,97.91076278686523,200
1595_poker,1,xgboost,0.3840687772541657,0.9875469207763672,200
1595_poker,1,lightgbm,0.3822320911001231,2.9061031341552734,200
1595_poker,2,split_boost,0.3385571941530433,99.12495350837708,200
1595_poker,2,xgboost,0.4139461579756995,0.9816672801971436,200
1595_poker,2,lightgbm,0.3879294873905643,2.8820960521698,200
1595_poker,3,split_boost,0.32127036989670166,99.85273241996765,200
1595_poker,3,xgboost,0.39490527250005797,0.9929590225219727,200
1595_poker,3,lightgbm,0.38757550531660484,2.8795716762542725,200
1595_poker,4,split_boost,0.3292961261383149,99.97891283035278,200
1595_poker,4,xgboost,0.3719029231035697,0.9851980209350586,200
1595_poker,4,lightgbm,0.38479028064413395,3.194242000579834,200
192_vineyard,0,split_boost,1.907118374392531,0.3037571907043457,24
192_vineyard,0,xgboost,1.7752018945371735,0.1879281997680664,10
192_vineyard,0,lightgbm,2.0405666045907362,0.17608094215393066,18
