round,kind,eta_eml,eta_dt,bic_eml,bic_dt,params_eml,params_dt,snap_ok,formula,outer_val_mse
0,EML,0.529549,0.100000,-91.070033,-20.010432,6,4,0,,0.045654
1,DT,-0.061222,0.100000,-96.024532,-103.030388,5,3,0,,0.040788
2,DT,-0.064436,0.100000,-83.795590,-90.792223,6,3,0,,0.037160
3,DT,-0.059756,0.100000,-109.179929,-112.469747,4,3,0,,0.033769
4,DT,-0.053974,0.100000,-112.506776,-115.514215,4,3,0,,0.031191
5,DT,-0.072007,0.100000,-101.924078,-107.096492,6,3,0,,0.029265
6,DT,-0.037157,0.100000,-112.565957,-122.691858,6,3,0,,0.027344
7,DT,-0.007541,0.100000,-111.487916,-117.274674,4,3,0,,0.025950
8,DT,-0.004758,0.100000,-108.648599,-114.449921,5,4,0,,0.023665
9,DT,-0.034723,0.100000,-129.148512,-134.076070,5,3,0,,0.022857
10,DT,-0.035345,0.100000,-125.250635,-129.883275,5,3,0,,0.021945
11,EML,-0.051261,0.100000,-134.782303,-127.598743,3,4,0,,0.020660
12,DT,0.017571,0.100000,-117.814177,-123.654815,4,3,0,,0.019110
13,DT,0.027372,0.100000,-122.164768,-134.593254,6,3,0,,0.017922
14,EML,0.046466,0.100000,-127.144776,-126.515929,5,4,0,,0.017972
15,DT,-0.036143,0.100000,-129.168797,-139.201430,7,3,0,,0.017466
16,EML,-0.045436,0.100000,-146.133817,-143.986405,5,4,0,,0.013878
17,DT,0.020212,0.100000,-135.222255,-140.811793,5,4,0,,0.012937
18,EML,0.020789,0.100000,-131.814833,-128.625523,3,4,0,,0.013823
19,DT,0.028876,0.100000,-124.235035,-134.309094,7,4,0,,0.013204
