round,kind,eta_eml,eta_dt,bic_eml,bic_dt,params_eml,params_dt,snap_ok,formula,outer_val_mse
0,EML,0.460245,0.100000,-69.594744,-19.223801,5,4,1,0.862955267382644*exp(1.7452480702951*x_0) - 1,0.060877
1,DT,-0.043541,0.100000,-77.742960,-87.829334,5,3,1,0.927451336185895*exp(1.75343074269429*x_0) - 1,0.050571
2,DT,-0.044587,0.100000,-87.699418,-94.366009,5,4,1,0.887158591623446*exp(1.7398455849735*x_1) - 1,0.041817
3,DT,-0.015555,0.100000,-91.580878,-104.978558,5,3,1,0.895351649855655*exp(1.69957306431349*x_0) - 1,0.034949
4,DT,-0.042235,0.100000,-106.821827,-115.912938,5,3,1,0.929518794261224*exp(1.67892717646289*x_1) - 1,0.029151
5,DT,-0.056551,0.100000,-105.830115,-108.744997,5,4,1,0.923371169144847*exp(1.66616378849251*x_1) - 1,0.024129
6,DT,-0.001796,0.100000,-109.756215,-123.656077,5,3,1,0.893448604596983*exp(1.72802253423071*x_0) - 1,0.020195
7,DT,-0.035926,0.100000,-122.268013,-128.773520,5,3,1,0.929555769528412*exp(1.71248953645409*x_1) - 1,0.017040
8,DT,-0.007656,0.100000,-112.346495,-122.036194,5,4,1,0.860718744482069*exp(1.79210520372725*x_0) - 1,0.014154
9,DT,-0.015013,0.100000,-128.570160,-140.627957,5,3,1,0.898363400703595*exp(1.73445721950352*x_0) - 1,0.011953
10,DT,-0.009671,0.100000,-142.111222,-151.944335,5,4,1,0.941385481595587*exp(1.64712549366301*x_1) - 1,0.009983
11,DT,-0.031781,0.100000,-145.337450,-150.385091,5,4,1,0.893832406976741*exp(1.66868301675059*x_1) - 1,0.008461
12,DT,-0.024817,0.100000,-138.463096,-144.428420,5,4,1,0.883796151004367*exp(1.70050050718515*x_1) - 1,0.007170
13,DT,-0.006193,0.100000,-152.863258,-162.687608,5,4,1,0.867111557604595*exp(1.70905381428391*x_1) - 1,0.006060
14,DT,-0.011952,0.100000,-161.939793,-168.883151,5,4,1,0.929637959921153*exp(1.73378288110351*x_0) - 1,0.005195
15,DT,-0.017485,0.100000,-173.935427,-176.290644,5,3,1,1.04088981284888*exp(1.6457460246942*x_1) - 1,0.004575
16,DT,-0.010542,0.100000,-171.933811,-177.318866,5,4,1,0.940768765626981*exp(1.74359461187301*x_0) - 1,0.003975
17,DT,0.001522,0.100000,-172.755041,-181.741551,5,4,1,0.866207220705094*exp(1.73003054327682*x_0) - 1,0.003435
18,DT,-0.011298,0.100000,-186.628299,-190.471223,5,4,1,0.928536200787418*exp(1.72391394498378*x_1) - 1,0.003002
19,DT,0.002669,0.100000,-179.926596,-189.029307,5,4,1,0.834128439587248*exp(1.76249956924539*x_0) - 1,0.002639
