dataset,seed,model,rmse,fit_time,n_rounds
192_vineyard,0,split_boost_blend_off,2.3940507269875555,0.32880210876464844,16
192_vineyard,0,split_boost_blend_on,2.3940507269875555,0.002902984619140625,16
192_vineyard,0,lightgbm,2.394869161744873,0.1869981288909912,0
192_vineyard,0,xgboost,3.031196594024718,0.2233741283416748,0
192_vineyard,1,split_boost_blend_off,2.6207781310901375,0.002661466598510742,16
192_vineyard,1,split_boost_blend_on,2.6207781310901375,0.0024042129516601562,16
192_vineyard,1,lightgbm,2.416480515587269,0.17702674865722656,0
192_vineyard,1,xgboost,3.420572478992733,0.13542532920837402,0
192_vineyard,2,split_boost_blend_off,4.533681212858299,0.002747058868408203,16
192_vineyard,2,split_boost_blend_on,4.533681212858299,0.0040776729583740234,16
192_vineyard,2,lightgbm,4.522330858519903,0.15713167190551758,0
192_vineyard,2,xgboost,3.4648272150676624,0.18792033195495605,0
210_cloud,0,split_boost_blend_off,0.7460522918663641,0.7132630348205566,36
210_cloud,0,split_boost_blend_on,0.7460522918663641,0.2585170269012451,36
210_cloud,0,lightgbm,0.7733878259954807,0.1848461627960205,0
210_cloud,0,xgboost,0.6548276624528223,0.14044952392578125,0
210_cloud,1,split_boost_blend_off,0.44712417866133003,0.33005595207214355,45
210_cloud,1,split_boost_blend_on,0.44712417866133003,0.32509374618530273,45
210_cloud,1,lightgbm,0.5469451649561609,0.18532729148864746,0
210_cloud,1,xgboost,0.2667452676137936,0.20398950576782227,0
210_cloud,2,split_boost_blend_off,0.47321999342677645,0.20872926712036133,28
210_cloud,2,split_boost_blend_on,0.47321999342677645,0.21031594276428223,28
210_cloud,2,lightgbm,0.49894731949600557,0.16627240180969238,0
210_cloud,2,xgboost,0.48159494104900924,0.13953113555908203,0
523_analcatdata_neavote,0,split_boost_blend_off,0.7144722658388859,0.09108877182006836,44
523_analcatdata_neavote,0,split_boost_blend_on,0.7144722658388859,0.08901500701904297,44
523_analcatdata_neavote,0,lightgbm,0.7221038321376677,0.16271471977233887,0
523_analcatdata_neavote,0,xgboost,0.7684598681048703,0.1403491497039795,0
