         6164231 function calls (6036772 primitive calls) in 26.561 seconds

   Ordered by: internal time
   List reduced from 930 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    12450    3.641    0.000   13.308    0.001 /home/max1024/Workspaces/company/new-gbdt-angle/eml_boost/tree_split/tree.py:431(_fit_leaf)
    12400    1.952    0.000   10.839    0.001 /home/max1024/Workspaces/company/new-gbdt-angle/eml_boost/tree_split/tree.py:322(_find_best_split_gpu)
   141660    1.623    0.000    1.623    0.000 {method 'item' of 'torch._C.TensorBase' objects}
 24850/50    1.577    0.000   26.117    0.522 /home/max1024/Workspaces/company/new-gbdt-angle/eml_boost/tree_split/tree.py:251(_grow_gpu)
    57140    1.437    0.000    1.437    0.000 {built-in method torch.isfinite}
    23585    1.287    0.000    3.249    0.000 /home/max1024/Workspaces/company/new-gbdt-angle/eml_boost/tree_split/tree.py:833(_top_features_by_corr_gpu)
   103095    1.051    0.000    1.051    0.000 {method 'sum' of 'torch._C.TensorBase' objects}
    12400    1.034    0.000    1.191    0.000 /home/max1024/Workspaces/company/new-gbdt-angle/eml_boost/tree_split/tree.py:853(_sample_descriptors)
    11185    0.843    0.000    3.007    0.000 /home/max1024/Workspaces/company/new-gbdt-angle/eml_boost/tree_split/tree.py:560(_select_leaf_gated)
    12400    0.791    0.000    3.213    0.000 /home/max1024/Workspaces/company/new-gbdt-angle/eml_boost/tree_split/_gpu_split_triton.py:202(gpu_histogram_split_triton)
    46715    0.762    0.000    0.762    0.000 {method 'cpu' of 'torch._C.TensorBase' objects}
   127430    0.753    0.000    0.753    0.000 {method 'to' of 'torch._C.TensorBase' objects}
    70955    0.627    0.000    0.627    0.000 {method 'mean' of 'torch._C.TensorBase' objects}
       50    0.584    0.012    0.609    0.012 /home/max1024/Workspaces/company/new-gbdt-angle/eml_boost/tree_split/tree.py:929(_tensorize_tree)
    59670    0.531    0.000    2.072    0.000 /home/max1024/Workspaces/company/new-gbdt-angle/.venv/lib/python3.12/site-packages/triton/runtime/jit.py:695(run)
    47170    0.485    0.000    0.485    0.000 {built-in method torch._C._linalg.linalg_vector_norm}
    57140    0.457    0.000    0.457    0.000 {method 'abs' of 'torch._C.TensorBase' objects}
    35985    0.407    0.000    0.407    0.000 {method 'max' of 'torch._C.TensorBase' objects}
    34770    0.344    0.000    0.344    0.000 {method 'all' of 'torch._C.TensorBase' objects}
  12405/0    0.306    0.000    0.000          {built-in method torch.tensor}
    25450    0.261    0.000    0.261    0.000 {built-in method torch.zeros}
    23585    0.247    0.000    0.247    0.000 {built-in method torch.topk}
    18698    0.238    0.000    0.238    0.000 {built-in method torch.stack}
    22370    0.210    0.000    0.210    0.000 {built-in method torch.where}
    34770    0.203    0.000    2.247    0.000 /home/max1024/Workspaces/company/new-gbdt-angle/eml_boost/_triton_exhaustive.py:446(evaluate_trees_triton)
    94440    0.197    0.000    0.378    0.000 /home/max1024/Workspaces/company/new-gbdt-angle/.venv/lib/python3.12/site-packages/triton/runtime/jit.py:1074(__call__)
    68325    0.191    0.000    0.191    0.000 {method 'unsqueeze' of 'torch._C.TensorBase' objects}
      397    0.190    0.000    0.190    0.000 {method 'update' of '_hashlib.HASH' objects}
    22370    0.190    0.000    0.190    0.000 {built-in method torch.clamp}
