         5810260 function calls (5689193 primitive calls) in 56.061 seconds

   Ordered by: internal time
   List reduced from 929 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    11702   25.697    0.002   25.741    0.002 /home/max1024/Workspaces/company/new-gbdt-angle/eml_boost/_triton_exhaustive.py:87(enumerate_depth2_descriptor)
   137730    4.566    0.000    4.566    0.000 {method 'item' of 'torch._C.TensorBase' objects}
    11751    3.936    0.000   13.026    0.001 /home/max1024/Workspaces/company/new-gbdt-angle/eml_boost/tree_split/tree.py:432(_fit_leaf)
    11701    2.064    0.000   40.527    0.003 /home/max1024/Workspaces/company/new-gbdt-angle/eml_boost/tree_split/tree.py:323(_find_best_split_gpu)
 23452/50    1.622    0.000   55.604    1.112 /home/max1024/Workspaces/company/new-gbdt-angle/eml_boost/tree_split/tree.py:252(_grow_gpu)
    54841    1.455    0.000    1.455    0.000 {built-in method torch.isfinite}
    22486    1.305    0.000    3.361    0.000 /home/max1024/Workspaces/company/new-gbdt-angle/eml_boost/tree_split/tree.py:830(_top_features_by_corr_gpu)
    98897    1.095    0.000    1.095    0.000 {method 'sum' of 'torch._C.TensorBase' objects}
    11701    0.946    0.000   27.692    0.002 /home/max1024/Workspaces/company/new-gbdt-angle/eml_boost/tree_split/tree.py:850(_sample_descriptors)
   122133    0.820    0.000    0.820    0.000 {method 'to' of 'torch._C.TensorBase' objects}
    11701    0.796    0.000    6.071    0.001 /home/max1024/Workspaces/company/new-gbdt-angle/eml_boost/tree_split/_gpu_split_triton.py:202(gpu_histogram_split_triton)
    10785    0.717    0.000    2.231    0.000 /home/max1024/Workspaces/company/new-gbdt-angle/eml_boost/tree_split/tree.py:561(_select_leaf_gated)
    70212    0.683    0.000    0.683    0.000 /home/max1024/Workspaces/company/new-gbdt-angle/eml_boost/_triton_exhaustive.py:388(is_feat)
    67658    0.660    0.000    0.660    0.000 {method 'mean' of 'torch._C.TensorBase' objects}
    30541    0.541    0.000    0.541    0.000 {method 'cpu' of 'torch._C.TensorBase' objects}
    56773    0.527    0.000    2.073    0.000 /home/max1024/Workspaces/company/new-gbdt-angle/.venv/lib/python3.12/site-packages/triton/runtime/jit.py:695(run)
    44972    0.515    0.000    0.515    0.000 {built-in method torch._C._linalg.linalg_vector_norm}
    54841    0.458    0.000    0.458    0.000 {method 'abs' of 'torch._C.TensorBase' objects}
  11706/0    0.432    0.000    0.000          {built-in method torch.tensor}
    34187    0.425    0.000    0.425    0.000 {method 'max' of 'torch._C.TensorBase' objects}
       50    0.380    0.008    0.403    0.008 /home/max1024/Workspaces/company/new-gbdt-angle/eml_boost/tree_split/tree.py:921(_tensorize_tree)
    33271    0.352    0.000    0.352    0.000 {method 'all' of 'torch._C.TensorBase' objects}
    24052    0.258    0.000    0.258    0.000 {built-in method torch.zeros}
    22486    0.254    0.000    0.254    0.000 {built-in method torch.topk}
    21570    0.209    0.000    0.209    0.000 {built-in method torch.where}
    33271    0.201    0.000    2.244    0.000 /home/max1024/Workspaces/company/new-gbdt-angle/eml_boost/_triton_exhaustive.py:446(evaluate_trees_triton)
    21570    0.197    0.000    0.197    0.000 {built-in method torch.clamp}
    11701    0.195    0.000    0.195    0.000 {method 'min' of 'torch._C.TensorBase' objects}
    65626    0.193    0.000    0.193    0.000 {method 'unsqueeze' of 'torch._C.TensorBase' objects}
      397    0.189    0.000    0.189    0.000 {method 'update' of '_hashlib.HASH' objects}
    90044    0.186    0.000    0.368    0.000 /home/max1024/Workspaces/company/new-gbdt-angle/.venv/lib/python3.12/site-packages/triton/runtime/jit.py:1074(__call__)
